action_1_amount,action_1_player,action_1_street,action_1_type,action_2_amount,action_2_player,action_2_street,action_2_type,action_3_amount,action_3_player,action_3_street,action_3_type,action_4_amount,action_4_player,action_4_street,action_4_type,action_5_amount,action_5_player,action_5_street,action_5_type,action_6_amount,action_6_player,action_6_street,action_6_type,action_7_amount,action_7_player,action_7_street,action_7_type,action_8_amount,action_8_player,action_8_street,action_8_type,action_9_amount,action_9_player,action_9_street,action_9_type,community_cards,current_street,final_pot,final_stack,game_number,hand_name,hand_value,hole_cards,initial_seats,initial_stack,player_name,pot,round_count,street,win_rate,won_hand
10,kgbgtaongtbfdxygqtvnkw,preflop,call,10,athapvcubebdvdiynpdfrz,preflop,call,0,kgbgtaongtbfdxygqtvnkw,flop,call,0,athapvcubebdvdiynpdfrz,flop,call,0,kgbgtaongtbfdxygqtvnkw,turn,call,990,athapvcubebdvdiynpdfrz,turn,raise,990,kgbgtaongtbfdxygqtvnkw,turn,call,,,,,,,,,"SA,D3,C6,HT",river,2000,2000,1,,,"DT,S7","[{'name': 'Player1', 'uuid': 'athapvcubebdvdiynpdfrz', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'kgbgtaongtbfdxygqtvnkw', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,turn,0.76,1
10,zfrpjrnqoigvvqkaqexwzg,preflop,call,10,diweeirjklfcdbkqwayfge,preflop,call,0,zfrpjrnqoigvvqkaqexwzg,flop,call,0,diweeirjklfcdbkqwayfge,flop,call,0,zfrpjrnqoigvvqkaqexwzg,turn,call,0,diweeirjklfcdbkqwayfge,turn,call,990,zfrpjrnqoigvvqkaqexwzg,river,raise,990,diweeirjklfcdbkqwayfge,river,call,,,,,"DK,S2,D4,H5,CK",river,2000,0,1,,,"SQ,H8","[{'name': 'Player1', 'uuid': 'diweeirjklfcdbkqwayfge', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'zfrpjrnqoigvvqkaqexwzg', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,river,0.32,0
10,wsnvyaqkqbmxvoohbwnhnx,preflop,call,10,jltrrnfgcgxplwcesufukk,preflop,call,0,wsnvyaqkqbmxvoohbwnhnx,flop,call,0,jltrrnfgcgxplwcesufukk,flop,call,0,wsnvyaqkqbmxvoohbwnhnx,turn,call,0,jltrrnfgcgxplwcesufukk,turn,call,0,wsnvyaqkqbmxvoohbwnhnx,river,call,990,jltrrnfgcgxplwcesufukk,river,raise,990,wsnvyaqkqbmxvoohbwnhnx,river,call,"DQ,C9,SQ,CQ,D5",river,2000,2000,1,,,"ST,CA","[{'name': 'Player1', 'uuid': 'jltrrnfgcgxplwcesufukk', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'wsnvyaqkqbmxvoohbwnhnx', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.7,1
1000,fxrzuetutjmmejuigbifsz,preflop,raise,1000,ybufhldnvmknqvomnolyzz,preflop,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,2000,0,1,,,"H7,DJ","[{'name': 'Player1', 'uuid': 'ybufhldnvmknqvomnolyzz', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'fxrzuetutjmmejuigbifsz', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,preflop,0.44,0
10,otapuvirazexbdztfmhwzx,preflop,call,10,fzyoeiflgzisdjenftjwul,preflop,call,990,otapuvirazexbdztfmhwzx,flop,raise,990,fzyoeiflgzisdjenftjwul,flop,call,,,,,,,,,,,,,,,,,,,,,"H5,C7,HK",river,2000,0,1,,,"S9,D4","[{'name': 'Player1', 'uuid': 'fzyoeiflgzisdjenftjwul', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'otapuvirazexbdztfmhwzx', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.25,0
10,mehgxhrxqquudajmdritkr,preflop,call,10,leptpnupionrjspqckvayf,preflop,call,0,mehgxhrxqquudajmdritkr,flop,call,0,leptpnupionrjspqckvayf,flop,call,990,mehgxhrxqquudajmdritkr,turn,raise,990,leptpnupionrjspqckvayf,turn,call,,,,,,,,,,,,,"DQ,HA,D5,S6",river,2000,0,1,,,"C2,H3","[{'name': 'Player1', 'uuid': 'leptpnupionrjspqckvayf', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'mehgxhrxqquudajmdritkr', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,turn,0.1,0
10,bmqdhskaluwpmjwoawsfpb,preflop,call,10,zdtpnkcptzknmrbdjzogdx,preflop,call,0,bmqdhskaluwpmjwoawsfpb,flop,call,0,zdtpnkcptzknmrbdjzogdx,flop,call,0,bmqdhskaluwpmjwoawsfpb,turn,call,990,zdtpnkcptzknmrbdjzogdx,turn,raise,990,bmqdhskaluwpmjwoawsfpb,turn,call,,,,,,,,,"DA,C9,H7,H2",river,2000,2000,1,,,"C7,C2","[{'name': 'Player1', 'uuid': 'zdtpnkcptzknmrbdjzogdx', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'bmqdhskaluwpmjwoawsfpb', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,turn,0.9,1
10,vubvrouszixuwkafrahgvp,preflop,call,10,oasstdnbdqucxeyfdbxuvp,preflop,call,0,vubvrouszixuwkafrahgvp,flop,call,0,oasstdnbdqucxeyfdbxuvp,flop,call,0,vubvrouszixuwkafrahgvp,turn,call,0,oasstdnbdqucxeyfdbxuvp,turn,call,0,vubvrouszixuwkafrahgvp,river,call,0,oasstdnbdqucxeyfdbxuvp,river,call,,,,,"HQ,DJ,S8,SQ,H2",river,20,1010,1,,,"D7,S2","[{'name': 'Player1', 'uuid': 'oasstdnbdqucxeyfdbxuvp', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'vubvrouszixuwkafrahgvp', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.6,1
10,fbgncdgnnvjlxmtzmpklkr,preflop,call,10,nbhimdeylknlbwhkmworgb,preflop,call,0,fbgncdgnnvjlxmtzmpklkr,flop,call,0,nbhimdeylknlbwhkmworgb,flop,call,0,fbgncdgnnvjlxmtzmpklkr,turn,call,0,nbhimdeylknlbwhkmworgb,turn,call,0,fbgncdgnnvjlxmtzmpklkr,river,call,0,nbhimdeylknlbwhkmworgb,river,call,,,,,"C5,D9,H8,DA,ST",river,20,1010,1,,,"C8,D7","[{'name': 'Player1', 'uuid': 'nbhimdeylknlbwhkmworgb', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'fbgncdgnnvjlxmtzmpklkr', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.53,1
10,buljbqhghydqgytokgywsu,preflop,call,10,nvwgzlefxanjmwcwvziwmr,preflop,call,0,buljbqhghydqgytokgywsu,flop,call,0,nvwgzlefxanjmwcwvziwmr,flop,call,0,buljbqhghydqgytokgywsu,turn,call,0,nvwgzlefxanjmwcwvziwmr,turn,call,0,buljbqhghydqgytokgywsu,river,call,0,nvwgzlefxanjmwcwvziwmr,river,call,,,,,"D5,C4,C8,HQ,S5",river,20,1010,1,,,"S9,HK","[{'name': 'Player1', 'uuid': 'nvwgzlefxanjmwcwvziwmr', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'buljbqhghydqgytokgywsu', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.31,1
10,mxbmjhvrkqvywcyodgpepq,preflop,call,10,ojtwxcwtopskfslvhrpqqi,preflop,call,0,mxbmjhvrkqvywcyodgpepq,flop,call,0,ojtwxcwtopskfslvhrpqqi,flop,call,0,mxbmjhvrkqvywcyodgpepq,turn,call,0,ojtwxcwtopskfslvhrpqqi,turn,call,0,mxbmjhvrkqvywcyodgpepq,river,call,0,ojtwxcwtopskfslvhrpqqi,river,call,,,,,"S5,DJ,S4,H8,D2",river,20,1010,1,,,"H2,D6","[{'name': 'Player1', 'uuid': 'ojtwxcwtopskfslvhrpqqi', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'mxbmjhvrkqvywcyodgpepq', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.47,1
10,jfsgqccgcycishtalalewq,preflop,call,10,rrzdotpxauibagykzddrfs,preflop,call,0,jfsgqccgcycishtalalewq,flop,call,0,rrzdotpxauibagykzddrfs,flop,call,0,jfsgqccgcycishtalalewq,turn,call,0,rrzdotpxauibagykzddrfs,turn,call,0,jfsgqccgcycishtalalewq,river,call,990,rrzdotpxauibagykzddrfs,river,raise,990,jfsgqccgcycishtalalewq,river,call,"SQ,H9,C9,SJ,DJ",river,2000,2000,1,,,"S4,HJ","[{'name': 'Player1', 'uuid': 'rrzdotpxauibagykzddrfs', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'jfsgqccgcycishtalalewq', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.98,1
10,pdaamcprsylvuxjkjafwyt,preflop,call,10,vavuyjdhymtrhdojktwfse,preflop,call,0,pdaamcprsylvuxjkjafwyt,flop,call,0,vavuyjdhymtrhdojktwfse,flop,call,990,pdaamcprsylvuxjkjafwyt,turn,raise,990,vavuyjdhymtrhdojktwfse,turn,call,,,,,,,,,,,,,"C3,C2,ST,S3",river,2000,0,1,,,"H6,H5","[{'name': 'Player1', 'uuid': 'vavuyjdhymtrhdojktwfse', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'pdaamcprsylvuxjkjafwyt', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,turn,0.11,0
10,hrqdbuvvlwunnlnqapeqhn,preflop,call,10,yrihpqlxdyvtvtqurnkavf,preflop,call,0,hrqdbuvvlwunnlnqapeqhn,flop,call,0,yrihpqlxdyvtvtqurnkavf,flop,call,0,hrqdbuvvlwunnlnqapeqhn,turn,call,0,yrihpqlxdyvtvtqurnkavf,turn,call,0,hrqdbuvvlwunnlnqapeqhn,river,call,0,yrihpqlxdyvtvtqurnkavf,river,call,,,,,"H6,C3,SQ,CQ,DJ",river,20,1010,1,,,"HT,D7","[{'name': 'Player1', 'uuid': 'yrihpqlxdyvtvtqurnkavf', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'hrqdbuvvlwunnlnqapeqhn', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.25,1
10,hdvvokqerlwyzpasgrqtsv,preflop,call,10,kqjpppznieywperrbkuykt,preflop,call,990,hdvvokqerlwyzpasgrqtsv,flop,raise,990,kqjpppznieywperrbkuykt,flop,call,,,,,,,,,,,,,,,,,,,,,"S4,C6,D9",river,2000,2000,1,,,"D4,H8","[{'name': 'Player1', 'uuid': 'kqjpppznieywperrbkuykt', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'hdvvokqerlwyzpasgrqtsv', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.61,1
10,nouslayexdvyzljvfvpiap,preflop,call,10,zlmrvwlvzhxklcxqzsdrim,preflop,call,0,nouslayexdvyzljvfvpiap,flop,call,0,zlmrvwlvzhxklcxqzsdrim,flop,call,990,nouslayexdvyzljvfvpiap,turn,raise,990,zlmrvwlvzhxklcxqzsdrim,turn,call,,,,,,,,,,,,,"D6,CT,H4,H9",river,2000,0,1,,,"H6,S7","[{'name': 'Player1', 'uuid': 'zlmrvwlvzhxklcxqzsdrim', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'nouslayexdvyzljvfvpiap', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,turn,0.68,0
10,jjgemvibhdriuhnghwgyub,preflop,call,10,rdxtlxxtbdbximiubpusfl,preflop,call,0,jjgemvibhdriuhnghwgyub,flop,call,0,rdxtlxxtbdbximiubpusfl,flop,call,990,jjgemvibhdriuhnghwgyub,turn,raise,-1,rdxtlxxtbdbximiubpusfl,turn,raise,,,,,,,,,,,,,"H5,H9,D9,HT",turn,1010,990,1,,,"DT,D3","[{'name': 'Player1', 'uuid': 'rdxtlxxtbdbximiubpusfl', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'jjgemvibhdriuhnghwgyub', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,turn,0.7,0
10,vuxkszxyaigfimelgiesxp,preflop,call,10,dhfhzqqlqwqokflivpwgsa,preflop,call,0,vuxkszxyaigfimelgiesxp,flop,call,0,dhfhzqqlqwqokflivpwgsa,flop,call,0,vuxkszxyaigfimelgiesxp,turn,call,0,dhfhzqqlqwqokflivpwgsa,turn,call,0,vuxkszxyaigfimelgiesxp,river,call,0,dhfhzqqlqwqokflivpwgsa,river,call,,,,,"CK,D5,DT,SJ,H6",river,20,990,1,,,"HA,D2","[{'name': 'Player1', 'uuid': 'dhfhzqqlqwqokflivpwgsa', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'vuxkszxyaigfimelgiesxp', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.3,0
10,kiozspukscxxtkyrjtchiw,preflop,call,10,ivbdopzkxhmakuoifhbtpk,preflop,call,0,kiozspukscxxtkyrjtchiw,flop,call,0,ivbdopzkxhmakuoifhbtpk,flop,call,0,kiozspukscxxtkyrjtchiw,turn,call,990,ivbdopzkxhmakuoifhbtpk,turn,raise,990,kiozspukscxxtkyrjtchiw,turn,call,,,,,,,,,"C8,D6,D7,S2",river,2000,2000,1,,,"D8,DA","[{'name': 'Player1', 'uuid': 'ivbdopzkxhmakuoifhbtpk', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'kiozspukscxxtkyrjtchiw', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,turn,0.79,1
10,zaqevmmcrzcwgccoazrbzg,preflop,call,10,xduidgxpkqdwignwjsihyr,preflop,call,0,zaqevmmcrzcwgccoazrbzg,flop,call,0,xduidgxpkqdwignwjsihyr,flop,call,0,zaqevmmcrzcwgccoazrbzg,turn,call,0,xduidgxpkqdwignwjsihyr,turn,call,0,zaqevmmcrzcwgccoazrbzg,river,call,0,xduidgxpkqdwignwjsihyr,river,call,,,,,"H9,CJ,DA,H7,S9",river,20,1010,1,,,"C8,H8","[{'name': 'Player1', 'uuid': 'xduidgxpkqdwignwjsihyr', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'zaqevmmcrzcwgccoazrbzg', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.6,1
10,xdkjvbouvmxxetzsyhqszg,preflop,call,10,fhmwqlzcxvktiuobbulunf,preflop,call,0,xdkjvbouvmxxetzsyhqszg,flop,call,0,fhmwqlzcxvktiuobbulunf,flop,call,0,xdkjvbouvmxxetzsyhqszg,turn,call,990,fhmwqlzcxvktiuobbulunf,turn,raise,990,xdkjvbouvmxxetzsyhqszg,turn,call,,,,,,,,,"C6,H7,D6,S8",river,2000,2000,1,,,"C8,CQ","[{'name': 'Player1', 'uuid': 'fhmwqlzcxvktiuobbulunf', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'xdkjvbouvmxxetzsyhqszg', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,turn,0.77,1
10,lvftymjsnroaxorhcjqekm,preflop,call,10,ckwrfkhzmblaeohesaevcy,preflop,call,0,lvftymjsnroaxorhcjqekm,flop,call,0,ckwrfkhzmblaeohesaevcy,flop,call,990,lvftymjsnroaxorhcjqekm,turn,raise,990,ckwrfkhzmblaeohesaevcy,turn,call,,,,,,,,,,,,,"ST,D6,DQ,SQ",river,2000,0,1,,,"HA,H3","[{'name': 'Player1', 'uuid': 'ckwrfkhzmblaeohesaevcy', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'lvftymjsnroaxorhcjqekm', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,turn,0.5,0
10,shngifzkckcijjvqjrdovb,preflop,call,10,oxjiguqaplzvefiyrkjfme,preflop,call,0,shngifzkckcijjvqjrdovb,flop,call,0,oxjiguqaplzvefiyrkjfme,flop,call,0,shngifzkckcijjvqjrdovb,turn,call,0,oxjiguqaplzvefiyrkjfme,turn,call,0,shngifzkckcijjvqjrdovb,river,call,0,oxjiguqaplzvefiyrkjfme,river,call,,,,,"D9,C5,HA,C8,S2",river,20,990,1,,,"C3,SJ","[{'name': 'Player1', 'uuid': 'oxjiguqaplzvefiyrkjfme', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'shngifzkckcijjvqjrdovb', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.23,0
10,fjxpqovhdsuuzxfhprhjnl,preflop,call,10,erbhfucefwldozdfgrqhsx,preflop,call,0,fjxpqovhdsuuzxfhprhjnl,flop,call,0,erbhfucefwldozdfgrqhsx,flop,call,0,fjxpqovhdsuuzxfhprhjnl,turn,call,0,erbhfucefwldozdfgrqhsx,turn,call,0,fjxpqovhdsuuzxfhprhjnl,river,call,0,erbhfucefwldozdfgrqhsx,river,call,,,,,"HT,H9,H8,S7,DT",river,20,990,1,,,"D2,S4","[{'name': 'Player1', 'uuid': 'erbhfucefwldozdfgrqhsx', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'fjxpqovhdsuuzxfhprhjnl', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.0,0
10,nmosynebualtjohowkledz,preflop,call,10,hhpspvcqahsbqcrpubtgmp,preflop,call,990,nmosynebualtjohowkledz,flop,raise,990,hhpspvcqahsbqcrpubtgmp,flop,call,,,,,,,,,,,,,,,,,,,,,"D2,C6,H9",river,2000,0,1,,,"C5,S2","[{'name': 'Player1', 'uuid': 'hhpspvcqahsbqcrpubtgmp', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'nmosynebualtjohowkledz', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.56,0
10,medyhogpvhbiljbieotqrz,preflop,call,10,dujjdjddqudaurvvslascg,preflop,call,0,medyhogpvhbiljbieotqrz,flop,call,0,dujjdjddqudaurvvslascg,flop,call,0,medyhogpvhbiljbieotqrz,turn,call,0,dujjdjddqudaurvvslascg,turn,call,0,medyhogpvhbiljbieotqrz,river,call,0,dujjdjddqudaurvvslascg,river,call,,,,,"D6,DQ,CT,D4,H6",river,20,990,1,,,"C9,S5","[{'name': 'Player1', 'uuid': 'dujjdjddqudaurvvslascg', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'medyhogpvhbiljbieotqrz', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.17,0
10,ylclbrcpyfcwlauyrdtgwv,preflop,call,10,usjflwczsrnbuguyeihtdc,preflop,call,0,ylclbrcpyfcwlauyrdtgwv,flop,call,990,usjflwczsrnbuguyeihtdc,flop,raise,990,ylclbrcpyfcwlauyrdtgwv,flop,call,,,,,,,,,,,,,,,,,"SQ,D6,ST",river,2000,2000,1,,,"HQ,C7","[{'name': 'Player1', 'uuid': 'usjflwczsrnbuguyeihtdc', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'ylclbrcpyfcwlauyrdtgwv', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,flop,0.8,1
10,nxocmlrsvoubdfaopbtfjx,preflop,call,10,hbdkduceguphiblqrivthe,preflop,call,990,nxocmlrsvoubdfaopbtfjx,flop,raise,990,hbdkduceguphiblqrivthe,flop,call,,,,,,,,,,,,,,,,,,,,,"H2,H8,CJ",river,2000,0,1,,,"H5,S9","[{'name': 'Player1', 'uuid': 'hbdkduceguphiblqrivthe', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'nxocmlrsvoubdfaopbtfjx', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.3,0
10,dpjlxwgjlvjjcygcfdgahz,preflop,call,10,wjrmnpdkbfncduimxndpkq,preflop,call,0,dpjlxwgjlvjjcygcfdgahz,flop,call,0,wjrmnpdkbfncduimxndpkq,flop,call,0,dpjlxwgjlvjjcygcfdgahz,turn,call,0,wjrmnpdkbfncduimxndpkq,turn,call,0,dpjlxwgjlvjjcygcfdgahz,river,call,990,wjrmnpdkbfncduimxndpkq,river,raise,990,dpjlxwgjlvjjcygcfdgahz,river,call,"D9,D8,C9,DT,SK",river,2000,2000,1,,,"D6,CK","[{'name': 'Player1', 'uuid': 'wjrmnpdkbfncduimxndpkq', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'dpjlxwgjlvjjcygcfdgahz', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.82,1
10,yuammcyavfhqkzfgfauyfz,preflop,call,10,xozkzvrkszatyblgdjpjly,preflop,call,0,yuammcyavfhqkzfgfauyfz,flop,call,990,xozkzvrkszatyblgdjpjly,flop,raise,990,yuammcyavfhqkzfgfauyfz,flop,call,,,,,,,,,,,,,,,,,"HQ,S6,CA",river,2000,2000,1,,,"D8,HA","[{'name': 'Player1', 'uuid': 'xozkzvrkszatyblgdjpjly', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'yuammcyavfhqkzfgfauyfz', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,flop,0.87,1
10,iogbckmbyxefxfzrcltmwr,preflop,call,10,mdmbuohziognoiovelxkyf,preflop,call,0,iogbckmbyxefxfzrcltmwr,flop,call,0,mdmbuohziognoiovelxkyf,flop,call,0,iogbckmbyxefxfzrcltmwr,turn,call,0,mdmbuohziognoiovelxkyf,turn,call,0,iogbckmbyxefxfzrcltmwr,river,call,0,mdmbuohziognoiovelxkyf,river,call,,,,,"H5,H7,CJ,SJ,CK",river,20,1010,1,,,"H4,S5","[{'name': 'Player1', 'uuid': 'mdmbuohziognoiovelxkyf', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'iogbckmbyxefxfzrcltmwr', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.61,1
10,kqtnelfuayslxznytzkhqn,preflop,call,10,gwbacekbrngxclryfsosdu,preflop,call,0,kqtnelfuayslxznytzkhqn,flop,call,990,gwbacekbrngxclryfsosdu,flop,raise,990,kqtnelfuayslxznytzkhqn,flop,call,,,,,,,,,,,,,,,,,"C6,C7,D8",river,2000,2000,1,,,"C8,CT","[{'name': 'Player1', 'uuid': 'gwbacekbrngxclryfsosdu', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'kqtnelfuayslxznytzkhqn', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,flop,0.85,1
10,qzdcfijblegtmzrvmsccvj,preflop,call,10,hjpoxxixodcjnskkgepmlc,preflop,call,0,qzdcfijblegtmzrvmsccvj,flop,call,990,hjpoxxixodcjnskkgepmlc,flop,raise,990,qzdcfijblegtmzrvmsccvj,flop,call,,,,,,,,,,,,,,,,,"S9,S7,D6",river,2000,2000,1,,,"C9,S5","[{'name': 'Player1', 'uuid': 'hjpoxxixodcjnskkgepmlc', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'qzdcfijblegtmzrvmsccvj', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,flop,0.7,1
10,yjqfxhbaiyclwkuftiyiuw,preflop,call,10,zfdrgxwjtaipzvxshwexkl,preflop,call,0,yjqfxhbaiyclwkuftiyiuw,flop,call,0,zfdrgxwjtaipzvxshwexkl,flop,call,0,yjqfxhbaiyclwkuftiyiuw,turn,call,0,zfdrgxwjtaipzvxshwexkl,turn,call,0,yjqfxhbaiyclwkuftiyiuw,river,call,0,zfdrgxwjtaipzvxshwexkl,river,call,,,,,"CK,H4,D5,H9,H5",river,20,990,1,,,"D2,CT","[{'name': 'Player1', 'uuid': 'zfdrgxwjtaipzvxshwexkl', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'yjqfxhbaiyclwkuftiyiuw', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.18,0
10,yppnyjmqsntxznsrtyahep,preflop,call,10,wcfsxuargbhvvnmlbswdfi,preflop,call,990,yppnyjmqsntxznsrtyahep,flop,raise,990,wcfsxuargbhvvnmlbswdfi,flop,call,,,,,,,,,,,,,,,,,,,,,"HJ,H2,DK",river,2000,0,1,,,"S6,C6","[{'name': 'Player1', 'uuid': 'wcfsxuargbhvvnmlbswdfi', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'yppnyjmqsntxznsrtyahep', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.49,0
10,vvsaqykwraaeeoclycjwso,preflop,call,10,cqojokueniuhhzpbjrcygg,preflop,call,0,vvsaqykwraaeeoclycjwso,flop,call,990,cqojokueniuhhzpbjrcygg,flop,raise,990,vvsaqykwraaeeoclycjwso,flop,call,,,,,,,,,,,,,,,,,"S9,CT,S5",river,2000,2000,1,,,"D9,HQ","[{'name': 'Player1', 'uuid': 'cqojokueniuhhzpbjrcygg', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'vvsaqykwraaeeoclycjwso', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,flop,0.74,1
10,epwllzwkljrbxauaartbpa,preflop,call,10,plhmcdkwmepyivvjshykyk,preflop,call,0,epwllzwkljrbxauaartbpa,flop,call,0,plhmcdkwmepyivvjshykyk,flop,call,0,epwllzwkljrbxauaartbpa,turn,call,0,plhmcdkwmepyivvjshykyk,turn,call,990,epwllzwkljrbxauaartbpa,river,raise,990,plhmcdkwmepyivvjshykyk,river,call,,,,,"CA,H5,H3,H8,C6",river,2000,0,1,,,"S4,SQ","[{'name': 'Player1', 'uuid': 'plhmcdkwmepyivvjshykyk', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'epwllzwkljrbxauaartbpa', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,river,0.12,0
10,oyqhwghojuvjpeqhplonem,preflop,call,10,buqsoouldrivsnnisywgcz,preflop,call,0,oyqhwghojuvjpeqhplonem,flop,call,990,buqsoouldrivsnnisywgcz,flop,raise,990,oyqhwghojuvjpeqhplonem,flop,call,,,,,,,,,,,,,,,,,"H8,S2,SK",river,2000,2000,1,,,"S8,ST","[{'name': 'Player1', 'uuid': 'buqsoouldrivsnnisywgcz', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'oyqhwghojuvjpeqhplonem', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,flop,0.82,1
10,szubmlbmypbjsarpfwhbeb,preflop,call,10,rtwjlfnipfsafdxpxesaje,preflop,call,0,szubmlbmypbjsarpfwhbeb,flop,call,0,rtwjlfnipfsafdxpxesaje,flop,call,0,szubmlbmypbjsarpfwhbeb,turn,call,0,rtwjlfnipfsafdxpxesaje,turn,call,0,szubmlbmypbjsarpfwhbeb,river,call,0,rtwjlfnipfsafdxpxesaje,river,call,,,,,"H8,D9,D7,HA,D2",river,20,1010,1,,,"S5,C7","[{'name': 'Player1', 'uuid': 'rtwjlfnipfsafdxpxesaje', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'szubmlbmypbjsarpfwhbeb', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.53,1
